event_id,lat,lng,date
11e9dfe6-7359-46e6-8bfb-866fba081218,-38.4582,144.9327,2013-04-21
029ddeac-08b0-44e0-ba72-fcf3b7868a8e,-38.457789,145.29655,2014-03-12
3037703c-8205-4e9a-a17b-ff7bae1bf0ad,-38.457789,145.29655,2018-04-22
0a5787f6-922c-4b61-86bc-0c88e563df92,-38.4573,144.9359,2013-05-20
152d96fa-3197-4f6c-a8fa-de26f01be555,-38.4557,144.9375,2013-04-09
ea116008-2418-4d1a-82f5-35eb96a4dbbc,-38.454825,143.482113,2017-03-14
f40ac624-83a3-40d4-9be5-c6e58f613029,-38.454,144.928,2013-04-25
8a516309-3ff2-48c4-bad6-85f6122d9121,-38.4531,146.6724,2013-05-08
a00245c2-1ced-4f5f-bbf0-926205ef03a6,-38.453,146.672,2013-05-09
ce1fbd3e-5d85-428f-aa8d-656b51ef499e,-38.45197,145.265,2016-01-24
cff9362e-d093-4ef4-bb0d-0eff925f7364,-38.450005,145.209246,2016-09-29
e06867ae-4b52-4da1-9487-56da83486061,-38.445926,144.930096,2017-01-11
899a291b-6f2a-45f7-9dfa-5da535f4ffbd,-38.444106,144.094814,2016-11-08
f78f09ba-ee51-4cf4-bee2-b8f854b1ce4a,-38.4423,144.9827,2013-05-02
06f2734f-2635-4675-a5c7-cab4f3bc6060,-38.4415,146.6501,2010-11-10
0fd73986-0bb1-46e7-ba19-0a045f5558f3,-38.4414,144.9827,2013-05-20
a8941cd9-d79b-40d4-a786-dbc8c48ab7da,-38.437504,144.086876,2018-01-14
45f46dc4-7e31-47f7-9558-53672f548c77,-38.4223,146.5803,2011-01-09
26429129-aeab-403b-986a-2e0d24ba6965,-38.42156,144.95516,2018-12-27
81657217-a4d4-4981-9b17-72b677b7a8c5,-38.4212,144.9409,2013-04-21
f4292302-8909-4b85-b0a1-359bba60a002,-38.42111,144.1725,2013-09-24
c26e9d41-9cc5-4c67-8bf0-8ee59236eb7d,-38.419267,145.035131,2017-04-13
a390d401-1943-4f32-9b29-1b5b8f9b1a87,-38.41666,144.25,2010-03-13
672c1af3-345a-4385-a069-1562df94f683,-38.4127,144.9488,2013-05-23
38cba8e4-1c3a-4baf-9138-63d43ad7c2ab,-38.4109,144.9488,2013-05-23
9716ec5b-4921-49e1-a32d-83444a4c0301,-38.4108,144.9492,2012-08-14
8ec7ec99-a678-40c5-a2c4-03fb8f899b4a,-38.4062,145.0296,2013-05-02
1357c943-ab1c-41eb-a507-bd903f6e2308,-38.4061,145.0301,2013-05-02
e2d9e86b-d9c4-40dd-806d-00eb38540d64,-38.402,145.025,2013-04-09
944ebc1f-9527-41a6-b25e-eeabeae797ed,-38.4016,145.0087,2013-04-13
9a9f2f3a-03e9-463f-9ec7-8c9d38e679b6,-38.4016,145.0087,2013-04-27
2df58b97-604b-4da7-9b95-744aa8268988,-38.397,145.029,2013-05-20
567e0f6a-dc30-46df-86b9-fa8d2d2a8b05,-38.3922,142.8351,2014-10-12
ad432f7a-1663-4fc2-9f98-d49ee2a03df1,-38.3922,142.8351,2015-01-29
6fb00dc2-771d-4b50-bf1f-e3d774d9e3d1,-38.3922,142.8351,2016-01-09
01a35064-7a6a-4ef1-99be-9bb520b8fd03,-38.38889,145.55099,2014-12-21
5ed6d129-e629-4ea0-a80d-4aa5ba1f0e7a,-38.3854,144.9321,2013-05-21
68e951b2-4e1c-4910-b66d-b4f48b6902e2,-38.385,144.939,2013-04-11
4a1c6a36-942a-4561-a871-cb41cd98f61f,-38.380687,145.556332,2019-01-02
299a6480-c287-4f7f-8ca9-f14cd0b8538d,-38.37988,144.25203,2013-09-29
17a76fd4-2eb7-4a31-93b7-f8f86ef1d9b0,-38.37988,144.25203,2014-04-16
42ed91eb-f722-40f7-ac8a-d71b543479a1,-38.37988,144.25203,2015-12-21
375d9a0e-5b3c-4b5d-bb2e-0b90549c727b,-38.37988,144.25203,2015-12-22
f065811a-a02c-4e4f-868b-f0914338b14f,-38.37988,144.25203,2015-12-27
af705a2a-a2fc-439d-93c0-b64123864940,-38.37988,144.25203,2016-01-02
8bb2c7e9-2ecc-45d1-9bd7-c620ffebf382,-38.37988,144.25203,2016-01-04
f3252691-8987-4f3e-a328-e2cf9c57a020,-38.37988,144.25203,2016-01-19
cfbec9c8-9628-4e66-8cc8-350d1a0549ee,-38.37988,144.25203,2016-02-19
25e384b0-804f-40a6-99d8-1aff63f2e1c7,-38.37988,144.25203,2016-02-23
1305ae76-d183-4daf-b218-d2904a745d76,-38.37988,144.25203,2016-03-03
0ed279ca-8e55-45ee-bb17-d40c1aa04a98,-38.37988,144.25203,2017-01-08
64c1e48a-7c70-4afb-bf21-77981ca1c93b,-38.3762,145.0682,2013-05-21
708aebf4-4660-45ad-8de1-899400eacb9d,-38.375667,144.248643,2016-02-21
852fb0f1-f037-4870-aad9-db20251eb681,-38.375145,144.248558,2015-12-22
d7ef6b88-e46a-48e2-a3ec-514e539edb80,-38.375072,144.244581,2016-01-02
55e01cdc-25d8-436d-96ed-11c783cff8ea,-38.37265,144.94466,2014-07-14
added5b2-3755-4d59-b76f-8de65b967d44,-38.37265,144.94466,2015-07-19
