"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Ninox strenua",-33.615283,151.369817,"2017-09-25"
"Ninox strenua",-30.59,153.01,"2019-03-01"
"Ninox strenua",-33.67,151.18,"2010-04-01"
"Ninox strenua",-34.09,150.49,"2017-06-01"
"Ninox strenua",-33.8,151.07,"2014-02-01"
"Ninox strenua",-34.07,150.47,"2017-06-01"
"Ninox strenua",-33.72,151.17,"2011-11-01"
"Ninox strenua",-34.88,150.6,"2014-10-01"
"Ninox strenua",-33.74,151.12,"2017-04-01"
"Ninox strenua",-33.78,151.17,"2016-06-01"
"Ninox strenua",-33.12,151.63,"2018-04-01"
"Ninox strenua",-33.41,151.48,"2013-05-01"
"Ninox strenua",-33.79,151.17,"2015-10-01"
"Ninox strenua",-33.25,151.27,"2016-01-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-34.05,151.09,"2012-03-01"
"Ninox strenua",-33.4,151.47,"2014-03-01"
"Ninox strenua",-33.8,151.18,"2012-04-01"
"Ninox strenua",-33.71,151.16,"2015-05-01"
"Ninox strenua",-33.76,151.22,"2014-12-01"
"Ninox strenua",-33.67,151.02,"2014-12-01"
"Ninox strenua",-34.89,150.63,"2012-01-01"
"Ninox strenua",-33.67,151.01,"2016-10-01"
"Ninox strenua",-33.73,151.12,"2015-08-01"
"Ninox strenua",-33.38,151.47,"2014-10-01"
"Ninox strenua",-33.73,151.22,"2017-04-01"
"Ninox strenua",-33.11,151.53,"2016-09-01"
"Ninox strenua",-32.9,151.67,"2014-08-01"
"Ninox strenua",-33.75,151.08,"2018-12-01"
"Ninox strenua",-34.01,151.09,"2016-12-01"
"Ninox strenua",-33.72,150.71,"2011-01-01"
"Ninox strenua",-33.84,150.89,"2017-03-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-33.38,151.39,"2015-12-01"
"Ninox strenua",-33.57,150.69,"2016-04-01"
"Ninox strenua",-33.43,151.28,"2016-09-01"
"Ninox strenua",-33.79,151.24,"2013-02-01"
"Ninox strenua",-33.73,151.01,"2014-03-01"
"Ninox strenua",-35.2,150.55,"2011-11-01"
"Ninox strenua",-37.06,149.81,"2018-09-01"
"Ninox strenua",-30.3,153.11,"2013-09-01"
"Ninox strenua",-33.73,151.29,"2012-03-01"
"Ninox strenua",-33.45,151.31,"2012-04-01"
"Ninox strenua",-33.6,151.32,"2017-01-01"
"Ninox strenua",-29.78,153.11,"2018-10-01"
"Ninox strenua",-32.74,151.95,"2018-04-01"
"Ninox strenua",-33.78,151.11,"2017-04-01"
"Ninox strenua",-33.72,151.17,"2015-11-01"
"Ninox strenua",-33.75,151.16,"2019-03-01"
"Ninox strenua",-32.98,151.66,"2014-03-01"
"Ninox strenua",-33.73,151.16,"2015-11-01"
"Ninox strenua",-33.83,151.14,"2011-08-01"
"Ninox strenua",-33.79,151.12,"2016-01-01"
"Ninox strenua",-33.04,151.61,"2016-10-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-36.85,149.93,"2013-10-01"
"Ninox strenua",-33.86,151.19,"2014-04-01"
"Ninox strenua",-35.38,150.45,"2011-07-01"
"Ninox strenua",-33.74,151.25,"2012-08-01"
"Ninox strenua",-33.7,151.1,"2015-03-01"
"Ninox strenua",-31.46,152.93,"2019-01-01"
"Ninox strenua",-33.69,151.27,"2012-04-01"
"Ninox strenua",-33.75,150.62,"2013-06-01"
"Ninox strenua",-33.66,151.31,"2011-10-01"
"Ninox strenua",-33.83,151.24,"2015-12-01"
"Ninox strenua",-33.6,151.32,"2017-01-01"
"Ninox strenua",-32.93,151.78,"2018-05-01"
"Ninox strenua",-33.75,151.1,"2018-11-01"
"Ninox strenua",-33.79,151.17,"2015-10-01"
"Ninox strenua",-28.96,153.4,"2019-04-01"
"Ninox strenua",-33.68,151.31,"2017-01-01"
"Ninox strenua",-33.77,151.19,"2019-03-01"
"Ninox strenua",-33.74,151,"2016-03-01"
"Ninox strenua",-31.43,151.38,"2018-09-01"
"Ninox strenua",-33.72,151.19,"2018-04-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-34.94,150.65,"2019-03-01"
"Ninox strenua",-33.06,151.57,"2018-01-01"
"Ninox strenua",-32.92,151.71,"2014-03-01"
"Ninox strenua",-33.96,150.94,"2017-05-01"
"Ninox strenua",-33.58,150.72,"2014-08-01"
"Ninox strenua",-33.54,150.81,"2019-04-01"
"Ninox strenua",-32.97,151.67,"2019-05-01"
"Ninox strenua",-33.81,151.17,"2017-03-01"
"Ninox strenua",-33.7,151.16,"2019-01-01"
"Ninox strenua",-34.01,151.07,"2015-10-01"
"Ninox strenua",-33.8,151.14,"2012-04-01"
"Ninox strenua",-30.59,153.01,"2019-05-01"
"Ninox strenua",-33.44,151.44,"2014-11-01"
"Ninox strenua",-32.98,151.65,"2014-05-01"
"Ninox strenua",-33.79,151.17,"2015-10-01"
"Ninox strenua",-34.5,150.18,"2018-11-01"
"Ninox strenua",-29.25,153.11,"2018-05-01"
"Ninox strenua",-32.17,151.72,"2019-03-01"
"Ninox strenua",-34.17,150.57,"2018-12-01"
"Ninox strenua",-34.05,151.08,"2015-01-01"
"Ninox strenua",-33.52,151.37,"2018-12-01"
"Ninox strenua",-33.34,151.4,"2010-08-01"
"Ninox strenua",-35.02,150.82,"2013-01-01"
"Ninox strenua",-33.76,151.02,"2018-04-01"
"Ninox strenua",-30.59,153.01,"2019-03-01"
"Ninox strenua",-33.68,151.31,"2011-09-01"
"Ninox strenua",-30.59,153.01,"2019-05-01"
"Ninox strenua",-33.23,151.45,"2010-11-01"
"Ninox strenua",-33.73,151.12,"2013-10-01"
"Ninox strenua",-33.74,151.28,"2013-01-01"
"Ninox strenua",-33.65,150.94,"2012-01-01"
"Ninox strenua",-33.81,151.26,"2012-03-01"
"Ninox strenua",-33.74,151.07,"2015-09-01"
"Ninox strenua",-33.72,151.3,"2012-08-01"
"Ninox strenua",-33.42,151.35,"2016-01-01"
"Ninox strenua",-34.12,150.8,"2019-01-01"
"Ninox strenua",-33.21,151.35,"2011-07-01"
"Ninox strenua",-33.78,151.09,"2014-11-01"
"Ninox strenua",-33.75,151.25,"2010-03-01"
"Ninox strenua",-34.05,151.08,"2015-01-01"
"Ninox strenua",-33.71,151.28,"2017-02-01"
"Ninox strenua",-33.64,151.32,"2014-11-01"
"Ninox strenua",-33.73,151.16,"2015-11-01"
"Ninox strenua",-33.74,151.06,"2014-04-01"
"Ninox strenua",-33.79,151.12,"2016-02-01"
"Ninox strenua",-33.81,151.22,"2016-02-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-33.75,151.05,"2012-04-01"
"Ninox strenua",-35.08,150.66,"2011-09-01"
"Ninox strenua",-33.75,151.1,"2017-07-01"
"Ninox strenua",-33.92,150.93,"2016-08-01"
"Ninox strenua",-30.59,153.01,"2019-03-01"
"Ninox strenua",-34.23,150.7,"2019-05-01"
"Ninox strenua",-30.96,152.54,"2013-05-01"
"Ninox strenua",-33.72,151.17,"2012-06-01"
"Ninox strenua",-33.99,150.89,"2013-04-01"
"Ninox strenua",-35.46,148.6,"2019-03-01"
"Ninox strenua",-33.86,151.21,"2013-06-01"
"Ninox strenua",-33.75,151.29,"2017-02-01"
"Ninox strenua",-30.59,153.01,"2019-03-01"
"Ninox strenua",-33.66,151.31,"2017-06-01"
"Ninox strenua",-33.76,151.22,"2012-04-01"
"Ninox strenua",-33.76,151.15,"2019-02-01"
"Ninox strenua",-33.75,151.14,"2013-04-01"
"Ninox strenua",-33.74,151.28,"2012-08-01"
"Ninox strenua",-33.87,151.21,"2014-07-01"
"Ninox strenua",-33.13,151.54,"2014-11-01"
"Ninox strenua",-30.96,152.54,"2013-03-01"
"Ninox strenua",-32.63,151.7,"2018-04-01"
"Ninox strenua",-30.46,153.05,"2018-11-01"
"Ninox strenua",-35.15,150.6,"2011-11-01"
"Ninox strenua",-34.3,150.93,"2018-06-01"
"Ninox strenua",-33.75,151.08,"2018-11-01"
"Ninox strenua",-32.98,151.6,"2018-01-01"
"Ninox strenua",-32.9,151.59,"2013-08-01"
"Ninox strenua",-32.99,151.59,"2014-05-01"
"Ninox strenua",-33.72,151.01,"2014-08-01"
"Ninox strenua",-33.52,151.2,"2011-12-01"
"Ninox strenua",-36.6,149.41,"2018-10-01"
"Ninox strenua",-31.49,152.75,"2019-02-01"
"Ninox strenua",-33.73,151.3,"2016-07-01"
"Ninox strenua",-33.75,151.22,"2011-08-01"
"Ninox strenua",-33.82,151.1,"2015-04-01"
"Ninox strenua",-33.67,151.18,"2017-01-01"
"Ninox strenua",-29.16,153.04,"2018-09-01"
"Ninox strenua",-32.96,151.67,"2017-10-01"
"Ninox strenua",-33.12,151.61,"2018-04-01"
"Ninox strenua",-33.84,151.11,"2017-03-01"
"Ninox strenua",-36.61,149.41,"2018-10-01"
"Ninox strenua",-33.87,151.21,"2015-05-01"
"Ninox strenua",-33.74,151.13,"2014-04-01"
"Ninox strenua",-33.84,151.23,"2012-11-01"
"Ninox strenua",-35.14,150.7,"2013-01-01"
"Ninox strenua",-33.71,151.15,"2014-01-01"
"Ninox strenua",-32.93,151.78,"2016-01-01"
"Ninox strenua",-33.76,151.2,"2019-02-01"
"Ninox strenua",-33.76,151.26,"2018-08-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-33.77,151.16,"2012-05-01"
"Ninox strenua",-33.12,151.63,"2018-04-01"
"Ninox strenua",-36.41,149.88,"2015-01-01"
"Ninox strenua",-33.73,151.22,"2017-04-01"
"Ninox strenua",-33.77,151.08,"2011-12-01"
"Ninox strenua",-35.72,150.18,"2018-12-01"
"Ninox strenua",-33.73,151.07,"2015-09-01"
"Ninox strenua",-30.3,153.11,"2013-09-01"
"Ninox strenua",-33.75,151.22,"2015-03-01"
"Ninox strenua",-32.93,151.69,"2014-04-01"
"Ninox strenua",-32.75,151.88,"2016-08-01"
"Ninox strenua",-32.84,151.37,"2017-05-01"
"Ninox strenua",-33.72,151.17,"2012-06-01"
"Ninox strenua",-33.88,151.14,"2015-02-01"
"Ninox strenua",-34.26,150.7,"2019-05-01"
"Ninox strenua",-33.76,151.22,"2013-07-01"
"Ninox strenua",-33.8,151.14,"2015-04-01"
"Ninox strenua",-30.29,153.12,"2017-02-01"
"Ninox strenua",-29.71,153.14,"2019-03-01"
"Ninox strenua",-33.74,151.11,"2019-01-01"
"Ninox strenua",-32.8,151.47,"2014-08-01"
"Ninox strenua",-33.75,151.03,"2011-11-01"
"Ninox strenua",-30.3,153.11,"2013-09-01"
"Ninox strenua",-36.41,149.88,"2015-01-01"
"Ninox strenua",-33.74,150.87,"2012-10-01"
"Ninox strenua",-34.05,151.09,"2013-09-01"
"Ninox strenua",-33.63,151.33,"2013-01-01"
"Ninox strenua",-33.54,151.01,"2011-12-01"
"Ninox strenua",-33.66,151.3,"2015-11-01"
"Ninox strenua",-33.8,151.18,"2015-03-01"
"Ninox strenua",-34.17,150.57,"2018-04-01"
"Ninox strenua",-33.14,151.61,"2013-08-01"
"Ninox strenua",-34.08,151.13,"2015-10-01"
"Ninox strenua",-33.72,151.08,"2014-03-01"
"Ninox strenua",-33.31,150.04,"2018-12-01"
"Ninox strenua",-33.68,151.27,"2013-11-01"
"Ninox strenua",-33.72,151.08,"2015-04-01"
"Ninox strenua",-33.64,151.06,"2013-09-01"
"Ninox strenua",-33.55,151.2,"2011-12-01"
"Ninox strenua",-33.62,151.33,"2016-04-01"
"Ninox strenua",-33.74,151.3,"2018-08-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-30.59,153.01,"2019-05-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-34.21,150.51,"2017-06-01"
"Ninox strenua",-33.78,151.18,"2015-05-01"
"Ninox strenua",-30.52,153.02,"2012-04-01"
"Ninox strenua",-33.71,151.29,"2012-08-01"
"Ninox strenua",-33.75,151.08,"2018-11-01"
"Ninox strenua",-32.99,151.58,"2014-05-01"
"Ninox strenua",-33.76,151.13,"2014-02-01"
"Ninox strenua",-29.19,153.15,"2018-09-01"
"Ninox strenua",-33.41,151.41,"2015-03-01"
"Ninox strenua",-33.63,151.33,"2014-11-01"
"Ninox strenua",-33.7,151.1,"2015-03-01"
"Ninox strenua",-32.94,151.68,"2019-02-01"
"Ninox strenua",-33.6,150.92,"2013-06-01"
"Ninox strenua",-33.9,151.23,"2016-09-01"
"Ninox strenua",-35.33,150.46,"2018-07-01"
"Ninox strenua",-33.64,151.32,"2011-09-01"
"Ninox strenua",-33.71,150.31,"2012-08-01"
"Ninox strenua",-33.76,151.22,"2015-10-01"
"Ninox strenua",-33.89,151.07,"2015-07-01"
"Ninox strenua",-34.06,151.08,"2017-02-01"
"Ninox strenua",-33.69,151.27,"2011-12-01"
"Ninox strenua",-33.62,151.33,"2016-07-01"
"Ninox strenua",-33.78,151.26,"2019-03-01"
"Ninox strenua",-33.64,151.22,"2012-04-01"
"Ninox strenua",-33.76,151.23,"2015-01-01"
"Ninox strenua",-34,151.04,"2013-09-01"
"Ninox strenua",-32.96,151.73,"2017-12-01"
"Ninox strenua",-31.46,152.93,"2019-02-01"
"Ninox strenua",-34.01,151.01,"2016-08-01"
"Ninox strenua",-33.81,151.17,"2013-04-01"
"Ninox strenua",-32.87,151.52,"2018-07-01"
"Ninox strenua",-33.64,151.32,"2015-08-01"
"Ninox strenua",-30.02,153.2,"2016-11-01"
"Ninox strenua",-33.74,151.1,"2014-06-01"
"Ninox strenua",-32.97,150.67,"2014-02-01"
"Ninox strenua",-33.36,151.43,"2011-12-01"
"Ninox strenua",-33.1,151.45,"2013-09-01"
"Ninox strenua",-35.02,150.67,"2014-10-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-33.74,151.28,"2012-12-01"
"Ninox strenua",-33.77,151.26,"2015-03-01"
"Ninox strenua",-33.75,151.22,"2015-04-01"
"Ninox strenua",-33.94,151.14,"2016-05-01"
"Ninox strenua",-34.61,150.19,"2018-08-01"
"Ninox strenua",-33.75,151.22,"2015-04-01"
"Ninox strenua",-32.76,152.07,"2013-10-01"
"Ninox strenua",-29.27,153.16,"2018-05-01"
"Ninox strenua",-30.59,153.01,"2019-05-01"
"Ninox strenua",-33.72,150.5,"2016-04-01"
"Ninox strenua",-33.63,151.32,"2016-12-01"
"Ninox strenua",-33.79,151.27,"2016-01-01"
"Ninox strenua",-33.73,151.3,"2013-03-01"
"Ninox strenua",-34.05,151.14,"2015-06-01"
"Ninox strenua",-33.72,151.27,"2011-03-01"
"Ninox strenua",-29.65,153.21,"2018-09-01"
"Ninox strenua",-33.71,151.29,"2012-12-01"
"Ninox strenua",-33.01,151.64,"2014-03-01"
"Ninox strenua",-35.26,150.51,"2019-01-01"
"Ninox strenua",-33.19,151.4,"2018-11-01"
"Ninox strenua",-33.73,150.99,"2013-08-01"
"Ninox strenua",-33.63,151.33,"2013-01-01"
"Ninox strenua",-29.59,153.17,"2018-09-01"
"Ninox strenua",-33.77,151.1,"2018-01-01"
"Ninox strenua",-34.5,150.14,"2018-11-01"
"Ninox strenua",-34.05,151.02,"2015-12-01"
"Ninox strenua",-32.23,148.63,"2013-04-01"
"Ninox strenua",-33.77,151.19,"2013-11-01"
"Ninox strenua",-33.71,151.11,"2016-11-01"
"Ninox strenua",-32.89,150.88,"2015-01-01"
"Ninox strenua",-33.73,151.3,"2018-08-01"
"Ninox strenua",-31.45,152.91,"2018-11-01"
"Ninox strenua",-33.77,151.27,"2015-08-01"
"Ninox strenua",-35.14,150.57,"2018-02-01"
