"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Melopsittacus undulatus",-20.65583,141.7561,"2015-08-03"
"Melopsittacus undulatus",-22.502831,122.069747,"2017-09-10"
"Melopsittacus undulatus",-24.249797,131.512914,"2013-08-07"
"Melopsittacus undulatus",-33.9308,150.8877,"2014-04-20"
"Melopsittacus undulatus",-22.58333,133.24999,"2010-06-09"
"Melopsittacus undulatus",-25.34352,131.03816,"2018-04-12"
"Melopsittacus undulatus",-30.841175,143.281846,"2012-06-23"
"Melopsittacus undulatus",-25.50947,114.10664,"2018-10-04"
"Melopsittacus undulatus",-29.9,116.2,"2013-01-08"
"Melopsittacus undulatus",-32.57056,138.0914,"2013-11-18"
"Melopsittacus undulatus",-27.98764,145.60875,"2015-10-19"
"Melopsittacus undulatus",-23.691897,133.719846,"2010-04-26"
"Melopsittacus undulatus",-18.200033,122.713097,"2018-07-18"
"Melopsittacus undulatus",-27.692814,133.95169,"2016-10-25"
"Melopsittacus undulatus",-36.16448,144.0747,"2012-10-07"
"Melopsittacus undulatus",-23.936055,131.243362,"2010-11-24"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-06-10"
"Melopsittacus undulatus",-23.77497,133.90557,"2012-05-03"
"Melopsittacus undulatus",-17.975202,122.344662,"2018-05-14"
"Melopsittacus undulatus",-18,133,"2012-08-01"
"Melopsittacus undulatus",-22.560638,142.96099,"2018-07-28"
"Melopsittacus undulatus",-22.645555,141.161118,"2012-08-27"
"Melopsittacus undulatus",-24.255556,131.5775,"2016-08-25"
"Melopsittacus undulatus",-30.459444,147.695557,"2012-10-27"
"Melopsittacus undulatus",-33,150.13964,"2013-05-05"
"Melopsittacus undulatus",-23.63052,132.72771,"2010-09-28"
"Melopsittacus undulatus",-23.85946,138.48043,"2015-08-01"
"Melopsittacus undulatus",-22.968662,119.293898,"2011-04-06"
"Melopsittacus undulatus",-20.249415,118.907005,"2012-08-22"
"Melopsittacus undulatus",-35.472421,143.461275,"2010-11-10"
"Melopsittacus undulatus",-21.245505,141.2615,"2018-07-28"
"Melopsittacus undulatus",-17.975202,122.344662,"2017-04-05"
"Melopsittacus undulatus",-19.66417,138.79722,"2012-06-23"
"Melopsittacus undulatus",-20.846327,140.054204,"2018-06-14"
"Melopsittacus undulatus",-23.706728,133.835045,"2014-08-15"
"Melopsittacus undulatus",-22.30306,119.1022,"2012-07-22"
"Melopsittacus undulatus",-22.24361,131.7978,"2012-11-12"
"Melopsittacus undulatus",-23.68028,133.89403,"2017-03-13"
"Melopsittacus undulatus",-28.40596,151.84517,"2015-04-15"
"Melopsittacus undulatus",-18.231106,142.406229,"2015-09-27"
"Melopsittacus undulatus",-22.803989,133.416873,"2011-01-25"
"Melopsittacus undulatus",-24.2325,124.38083,"2018-08-03"
"Melopsittacus undulatus",-28.26694,151.03361,"2013-05-28"
"Melopsittacus undulatus",-24.252403,131.57351,"2015-01-23"
"Melopsittacus undulatus",-22.56639,143.13389,"2014-09-28"
"Melopsittacus undulatus",-28.807215,115.530912,"2017-10-08"
"Melopsittacus undulatus",-30.416666,141.25,"2010-03-28"
"Melopsittacus undulatus",-27.980349,145.556018,"2014-06-23"
"Melopsittacus undulatus",-28.59088,138.72011,"2016-09-07"
"Melopsittacus undulatus",-36.13044,143.74151,"2013-08-24"
"Melopsittacus undulatus",-34.63805,141.83166,"2010-11-08"
"Melopsittacus undulatus",-30.083334,147.58333,"2010-03-16"
"Melopsittacus undulatus",-27.98764,145.60875,"2013-01-14"
"Melopsittacus undulatus",-20.72139,139.59,"2015-08-04"
"Melopsittacus undulatus",-21.77715,114.98188,"2015-08-30"
"Melopsittacus undulatus",-23.016928,119.036155,"2011-11-05"
"Melopsittacus undulatus",-27.59804,135.43586,"2016-08-09"
"Melopsittacus undulatus",-27.98764,145.60875,"2014-05-31"
"Melopsittacus undulatus",-27.62556,119.6072,"2012-06-07"
"Melopsittacus undulatus",-22.50667,133.5214,"2012-07-17"
"Melopsittacus undulatus",-27.96318,138.6587,"2016-09-10"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-04-30"
"Melopsittacus undulatus",-29.9,116.2,"2010-03-22"
"Melopsittacus undulatus",-23.631885,132.728952,"2018-05-23"
"Melopsittacus undulatus",-22.557864,142.999629,"2018-09-23"
"Melopsittacus undulatus",-21.06861,134.87111,"2012-06-09"
"Melopsittacus undulatus",-30.05701,138.92258,"2017-06-25"
"Melopsittacus undulatus",-23.735619,133.856778,"2014-09-30"
"Melopsittacus undulatus",-23.70694,133.72556,"2016-08-12"
"Melopsittacus undulatus",-23.7475,134.01472,"2010-05-19"
"Melopsittacus undulatus",-30.01962,137.89893,"2016-11-15"
"Melopsittacus undulatus",-30.23972,138.46361,"2017-05-20"
"Melopsittacus undulatus",-18.7898,146.21704,"2013-02-26"
"Melopsittacus undulatus",-27.9944,145.61656,"2014-04-22"
"Melopsittacus undulatus",-23.79639,133.91667,"2018-04-23"
"Melopsittacus undulatus",-28.5,140.5,"2011-05-20"
"Melopsittacus undulatus",-19.86247,139.51804,"2017-06-14"
"Melopsittacus undulatus",-24.5,113.5,"2011-09-19"
"Melopsittacus undulatus",-23.71941,133.87759,"2018-09-25"
"Melopsittacus undulatus",-22.480425,118.462189,"2017-06-15"
"Melopsittacus undulatus",-25.81403,138.08417,"2016-07-19"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-08-27"
"Melopsittacus undulatus",-29.68092,135.62864,"2011-04-10"
"Melopsittacus undulatus",-23.69527,133.84944,"2010-06-25"
"Melopsittacus undulatus",-30.897304,147.530026,"2014-10-14"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-04-26"
"Melopsittacus undulatus",-24.79121,134.20775,"2014-08-22"
"Melopsittacus undulatus",-25.386178,132.663219,"2011-03-22"
"Melopsittacus undulatus",-23.630174,132.743468,"2014-09-02"
"Melopsittacus undulatus",-22.947947,139.205704,"2014-10-05"
