event_id,lat,lng,date
425ff00f-e7be-4174-b977-356628eee0fa,-35.69522,143.95385,2011-12-17
19659e18-b07b-4815-83a1-388ef145bb07,-35.68508,143.88795,2013-10-24
f0d46f5a-a5c9-4710-9a11-ec10acb1b5aa,-35.63207,138.52331,2012-11-04
1afa1b99-e377-4172-891b-3c5aa67df1d9,-35.60971,139.38511,2011-10-19
0e80c43e-c1ea-40c9-a4b9-ea299add6851,-35.6083,143.8083,2010-11-11
27a9a8b2-b4ea-43b7-a9c5-a62af4a88991,-35.59869,143.82614,2010-11-11
9e38c3cf-5f3e-4bcd-aa08-ec1199560c07,-35.533763,142.529926,2011-10-22
b9b5726a-9da8-41ac-9df9-aa591759b191,-35.53264,142.52889,2011-10-22
e16508f6-4ddb-4b35-bb8a-ebdab30eaef9,-35.51629,143.75267,2011-10-28
96169c1b-91e4-4208-b9b2-23184f44c9ce,-35.50369,143.98385,2013-10-23
327f3356-7951-4ca6-ab8f-570ddcc2c681,-35.50369,143.98385,2013-11-04
60cb8441-bdc4-46c3-8efd-8aa409eb20d4,-35.49139,138.9933,2013-10-01
a7464446-3579-4a94-ab83-fdc59e1cabb4,-35.49111,138.99361,2013-10-01
edf700bf-eaca-4707-83ba-df6598dc9209,-35.49111,138.99361,2015-04-23
6a26793b-4d5d-438e-9774-3e277c425bf8,-35.47847,143.60628,2012-10-13
bc5367c3-a9d2-4911-92e9-e9e447e808b5,-35.47576,143.45329,2010-01-17
6f9b67d5-ac7f-4f5e-bf26-a89be4742ce9,-35.47576,143.45329,2011-11-03
5d80c171-3d84-403e-aa27-0fa7547e90e5,-35.47576,143.45329,2011-11-11
dfe57580-c5a5-4249-acb9-a186a7e07eeb,-35.47576,143.45329,2011-11-12
f8791c0d-22cc-4d73-a831-b0c94e1da0da,-35.47576,143.45329,2011-11-18
41a2b43d-2934-4f87-887e-67c478690074,-35.47576,143.45329,2011-11-19
de93c32c-6128-47d8-854d-11903a77ba79,-35.47576,143.45329,2011-11-22
6b2062ce-a108-4b06-99ff-0febcd9d8103,-35.47576,143.45329,2012-12-02
3aa3faaf-ed53-46cf-815a-d7b723bc3986,-35.47576,143.45329,2013-01-03
3d0edf6b-241c-4abf-81d4-c0945e43e30e,-35.47254,146.25297,2012-01-15
8b520c27-d87a-404f-bdd2-35245f9c48ba,-35.472421,143.461275,2010-01-17
56ca95b9-8639-4b07-be8b-0546019ca6de,-35.472421,143.461275,2010-11-10
16584cda-63c1-462a-bb58-dbc2d4ab633c,-35.472421,143.461275,2011-10-29
836b9d16-2d38-48ec-99c1-5b4b8473aa47,-35.472421,143.461275,2011-10-31
2e88f0dc-00c3-4b8b-81be-f90554898f36,-35.472421,143.461275,2011-11-01
6e36bfbb-66ec-4e19-abba-d57fae53596a,-35.472421,143.461275,2011-11-12
bf7fa18b-9577-43cb-99ab-4df2538a7035,-35.472421,143.461275,2011-11-18
21d05a4d-1410-4847-b5aa-396d7d148509,-35.472421,143.461275,2011-11-22
467b6f88-3a5d-44ce-9cd8-5f0b602619fc,-35.472421,143.461275,2011-11-27
55fea0f3-03f8-46b9-b4cc-f15fba7538bc,-35.472421,143.461275,2011-12-04
000e1c98-467e-4cdc-b180-96dd1e108d9e,-35.472421,143.461275,2012-10-03
144e6920-325c-4a78-8e94-fd2696242b69,-35.472421,143.461275,2012-11-26
ed6f8dc8-da1f-4f65-9f8c-fcc0d8b2ef2d,-35.472421,143.461275,2012-12-02
66a6fdf7-b195-46b5-b7ba-d78b36d76fbe,-35.472421,143.461275,2012-12-14
